Index,Date_Time,Date_Time_Unix,APMHwPN,APMSwPN,ApmState,TailId
50332,45616.52336,1732106018,06-5527-01_revA,,,
50333,45616.52336,1732106018,06-5527-01_revA,,,
50334,45616.52336,1732106018,,SPI3618552701A0,,
50335,45616.52336,1732106018,,SPI3618552701A0,,
50349,45616.52336,1732106018,,,1,
50350,45616.52336,1732106018,,,1,
50375,45616.52336,1732106018,,,,F-WZGA
50376,45616.52336,1732106018,,,,F-WZGA
83284,45616.53855,1732107331,06-5527-01_revA,,,
83285,45616.53855,1732107331,06-5527-01_revA,,,
83286,45616.53855,1732107331,,SPI3618552701A0,,
83287,45616.53855,1732107331,,SPI3618552701A0,,
83300,45616.53855,1732107331,,,1,
83301,45616.53855,1732107331,,,1,
83324,45616.53855,1732107331,,,,F-WZGA
83325,45616.53855,1732107331,,,,F-WZGA
115194,45616.63539,1732115697,06-5527-01_revA,,,
115195,45616.63539,1732115697,06-5527-01_revA,,,
115196,45616.63539,1732115697,,SPI3618552701A0,,
115197,45616.63539,1732115697,,SPI3618552701A0,,
115210,45616.63539,1732115697,,,1,
115211,45616.63539,1732115697,,,1,
115242,45616.63539,1732115698,,,,F-WZGA
115243,45616.63539,1732115698,,,,F-WZGA
225499,45616.69755,1732121068,06-5527-01_revA,,,
225500,45616.69755,1732121068,06-5527-01_revA,,,
225503,45616.69755,1732121068,,SPI3618552701A0,,
225505,45616.69755,1732121068,,SPI3618552701A0,,
225518,45616.69755,1732121068,,,1,
225519,45616.69755,1732121068,,,1,
225548,45616.69755,1732121069,,,,F-WZGA
225549,45616.69755,1732121069,,,,F-WZGA
232911,45616.69876,1732121173,06-5527-01_revA,,,
232912,45616.69876,1732121173,06-5527-01_revA,,,
232913,45616.69876,1732121173,,SPI3618552701A0,,
232914,45616.69876,1732121173,,SPI3618552701A0,,
232927,45616.69876,1732121173,,,1,
232928,45616.69876,1732121173,,,1,
232951,45616.69876,1732121173,,,,F-WZGA
232952,45616.69876,1732121173,,,,F-WZGA
238525,45616.71213,1732122328,06-5527-01_revA,,,
238526,45616.71213,1732122328,06-5527-01_revA,,,
238527,45616.71213,1732122328,,SPI3618552701A0,,
238528,45616.71213,1732122328,,SPI3618552701A0,,
238541,45616.71213,1732122328,,,1,
238542,45616.71213,1732122328,,,1,
238565,45616.71214,1732122328,,,,F-WZGA
238566,45616.71214,1732122328,,,,F-WZGA
346659,45616.8847,1732137238,06-5527-01_revA,,,
346661,45616.8847,1732137238,06-5527-01_revA,,,
346662,45616.8847,1732137238,,SPI3618552701A0,,
346663,45616.8847,1732137238,,SPI3618552701A0,,
346676,45616.8847,1732137238,,,1,
346677,45616.8847,1732137238,,,1,
346700,45616.8847,1732137238,,,,F-WZGA
346701,45616.8847,1732137238,,,,F-WZGA
395488,45617.22628,1732166750,06-5527-01_revA,,,
395489,45617.22628,1732166750,06-5527-01_revA,,,
395490,45617.22628,1732166750,,SPI3618552701A0,,
395491,45617.22628,1732166750,,SPI3618552701A0,,
395504,45617.22628,1732166751,,,1,
395505,45617.22628,1732166751,,,1,
395529,45617.22628,1732166751,,,,F-WZGA
395530,45617.22628,1732166751,,,,F-WZGA
802861,45617.37277,1732179407,06-5527-01_revA,,,
802862,45617.37277,1732179407,06-5527-01_revA,,,
802863,45617.37277,1732179407,,SPI3618552701A0,,
802864,45617.37277,1732179407,,SPI3618552701A0,,
802877,45617.37277,1732179407,,,1,
802878,45617.37277,1732179407,,,1,
802901,45617.37277,1732179408,,,,F-WZGA
802902,45617.37277,1732179408,,,,F-WZGA
921586,45617.48556,1732189152,06-5527-01_revA,,,
921587,45617.48556,1732189152,06-5527-01_revA,,,
921588,45617.48556,1732189152,,SPI3618552701A0,,
921589,45617.48556,1732189152,,SPI3618552701A0,,
921602,45617.48556,1732189152,,,1,
921603,45617.48556,1732189152,,,1,
921626,45617.48556,1732189152,,,,F-WZGA
921627,45617.48556,1732189152,,,,F-WZGA
1228878,45616.8847,1732137238,06-5527-01_revA,,,
1228880,45616.8847,1732137238,06-5527-01_revA,,,
1228881,45616.8847,1732137238,,SPI3618552701A0,,
1228882,45616.8847,1732137238,,SPI3618552701A0,,
1228895,45616.8847,1732137238,,,1,
1228896,45616.8847,1732137238,,,1,
1228919,45616.8847,1732137238,,,,F-WZGA
1228920,45616.8847,1732137238,,,,F-WZGA
1277707,45617.22628,1732166750,06-5527-01_revA,,,
1277708,45617.22628,1732166750,06-5527-01_revA,,,
1277709,45617.22628,1732166750,,SPI3618552701A0,,
1277710,45617.22628,1732166750,,SPI3618552701A0,,
1277723,45617.22628,1732166751,,,1,
1277724,45617.22628,1732166751,,,1,
1277748,45617.22628,1732166751,,,,F-WZGA
1277749,45617.22628,1732166751,,,,F-WZGA
1685084,45617.37277,1732179407,06-5527-01_revA,,,
1685085,45617.37277,1732179407,06-5527-01_revA,,,
1685086,45617.37277,1732179407,,SPI3618552701A0,,
1685087,45617.37277,1732179407,,SPI3618552701A0,,
1685100,45617.37277,1732179407,,,1,
1685101,45617.37277,1732179407,,,1,
1685124,45617.37277,1732179408,,,,F-WZGA
1685125,45617.37277,1732179408,,,,F-WZGA
1803712,45617.48556,1732189152,06-5527-01_revA,,,
1803713,45617.48556,1732189152,06-5527-01_revA,,,
1803714,45617.48556,1732189152,,SPI3618552701A0,,
1803715,45617.48556,1732189152,,SPI3618552701A0,,
1803728,45617.48556,1732189152,,,1,
1803729,45617.48556,1732189152,,,1,
1803752,45617.48556,1732189152,,,,F-WZGA
1803753,45617.48556,1732189152,,,,F-WZGA
2109984,45618.39227,1732267493,06-5527-01_revA,,,
2109985,45618.39227,1732267493,06-5527-01_revA,,,
2109986,45618.39227,1732267493,,SPI3618552701A0,,
2109987,45618.39227,1732267493,,SPI3618552701A0,,
2110000,45618.39227,1732267493,,,1,
2110001,45618.39227,1732267493,,,1,
2110046,45618.39228,1732267493,,,,F-WZGA
2110047,45618.39228,1732267493,,,,F-WZGA
2552825,45617.37277,1732179407,06-5527-01_revA,,,
2552826,45617.37277,1732179407,06-5527-01_revA,,,
2552827,45617.37277,1732179407,,SPI3618552701A0,,
2552828,45617.37277,1732179407,,SPI3618552701A0,,
2552841,45617.37277,1732179407,,,1,
2552842,45617.37277,1732179407,,,1,
2552865,45617.37277,1732179408,,,,F-WZGA
2552866,45617.37277,1732179408,,,,F-WZGA
2671459,45617.48556,1732189152,06-5527-01_revA,,,
2671460,45617.48556,1732189152,06-5527-01_revA,,,
2671461,45617.48556,1732189152,,SPI3618552701A0,,
2671462,45617.48556,1732189152,,SPI3618552701A0,,
2671475,45617.48556,1732189152,,,1,
2671476,45617.48556,1732189152,,,1,
2671499,45617.48556,1732189152,,,,F-WZGA
2671500,45617.48556,1732189152,,,,F-WZGA
2977733,45618.39227,1732267493,06-5527-01_revA,,,
2977734,45618.39227,1732267493,06-5527-01_revA,,,
2977735,45618.39227,1732267493,,SPI3618552701A0,,
2977736,45618.39227,1732267493,,SPI3618552701A0,,
2977749,45618.39227,1732267493,,,1,
2977750,45618.39227,1732267493,,,1,
2977795,45618.39228,1732267493,,,,F-WZGA
2977796,45618.39228,1732267493,,,,F-WZGA
3092612,45618.57338,1732283140,06-5527-01_revA,,,
