Index,Date_Time,Date_Time_Unix,ModManState,ModManThermalState
56629,45616.52384,1732106060,2,
56631,45616.52384,1732106060,2,
56633,45616.52384,1732106060,,1
56635,45616.52384,1732106060,,1
57954,45616.52386,1732106061,2,
57956,45616.52386,1732106061,,1
57958,45616.52386,1732106061,2,
57960,45616.52386,1732106061,,1
57966,45616.52386,1732106061,2,
57968,45616.52386,1732106061,,1
59670,45616.52433,1732106102,1,
59672,45616.52433,1732106102,,1
88052,45616.53902,1732107371,2,
88054,45616.53902,1732107371,2,
88056,45616.53902,1732107371,,1
88058,45616.53902,1732107371,,1
89373,45616.53904,1732107373,2,
89375,45616.53904,1732107373,,1
89383,45616.53904,1732107373,2,
89385,45616.53904,1732107373,,1
89387,45616.53904,1732107373,2,
89389,45616.53904,1732107373,,1
92649,45616.53952,1732107415,1,
92651,45616.53952,1732107415,,1
119039,45616.63585,1732115737,2,
119041,45616.63585,1732115737,2,
119043,45616.63585,1732115737,,1
119045,45616.63585,1732115737,,1
120362,45616.63587,1732115739,2,
120364,45616.63587,1732115739,,1
120366,45616.63587,1732115739,2,
120368,45616.63587,1732115739,,1
120370,45616.63587,1732115739,2,
120372,45616.63587,1732115739,,1
121388,45616.63636,1732115781,1,
121390,45616.63636,1732115781,,1
206952,45616.68542,1732120021,3,
206954,45616.68542,1732120021,,1
208030,45616.68613,1732120082,1,
208032,45616.68613,1732120082,,1
243325,45616.7126,1732122369,2,
243327,45616.7126,1732122369,2,
243329,45616.7126,1732122369,,1
243331,45616.7126,1732122369,,1
244648,45616.71262,1732122370,2,
244650,45616.71262,1732122370,,1
244652,45616.71262,1732122370,2,
244654,45616.71262,1732122370,,1
244656,45616.71262,1732122370,2,
244658,45616.71262,1732122370,,1
247899,45616.71311,1732122412,1,
247901,45616.71311,1732122412,,1
350524,45616.88517,1732137279,2,
350526,45616.88517,1732137279,2,
350528,45616.88517,1732137279,,1
350530,45616.88517,1732137279,,1
351855,45616.88519,1732137281,2,
351857,45616.88519,1732137281,,1
351859,45616.88519,1732137281,2,
351861,45616.88519,1732137281,,1
351863,45616.88519,1732137281,2,
351865,45616.88519,1732137281,,1
353022,45616.88569,1732137323,1,
353024,45616.88569,1732137323,,1
399460,45617.22675,1732166791,2,
399462,45617.22675,1732166791,2,
399464,45617.22675,1732166791,,1
399466,45617.22675,1732166791,,1
400787,45617.22677,1732166793,2,
400789,45617.22677,1732166793,,1
400791,45617.22677,1732166793,2,
400793,45617.22677,1732166793,,1
400795,45617.22677,1732166793,2,
400797,45617.22677,1732166793,,1
401810,45617.22725,1732166835,1,
401812,45617.22725,1732166835,,1
807554,45617.37324,1732179448,2,
807556,45617.37324,1732179448,2,
807558,45617.37324,1732179448,,1
807560,45617.37324,1732179448,,1
808877,45617.37326,1732179450,2,
808879,45617.37326,1732179450,,1
808881,45617.37326,1732179450,2,
808883,45617.37326,1732179450,,1
808889,45617.37326,1732179450,2,
808891,45617.37326,1732179450,,1
812338,45617.37374,1732179491,1,
812340,45617.37374,1732179491,,1
925526,45617.48602,1732189192,2,
925528,45617.48602,1732189192,2,
925530,45617.48602,1732189192,,1
925532,45617.48602,1732189192,,1
926852,45617.48604,1732189194,2,
926854,45617.48604,1732189194,,1
926856,45617.48604,1732189194,2,
926858,45617.48604,1732189194,,1
926860,45617.48604,1732189194,2,
926862,45617.48604,1732189194,,1
928005,45617.48656,1732189239,1,
